CD Rank,Colleges
#1,"VIT Business School - [VITBS], Chennai"
N/A,N/A
MBA,N/A
#2,"National Institute of Fashion Technology - [NIFT], Chennai"
N/A,N/A
B.F.Tech  (Apparel Production),N/A
B.Des Fashion Communication,N/A
B.Des Accessory Design,N/A
B.Des Leather Design,N/A
#3,"Anbil Dharmalingam Agricultural College and Research Institute - [ADAC&RI], Tiruchirappalli"
#4,"KV Institute of Management and Informations Studies - [KVIMIS], Coimbatore"
N/A,N/A
MBA Finance,N/A
MBA Human Resource Management,N/A
MBA Systems Management,N/A
MBA Marketing,N/A
MBA Production Management,N/A
#5,"PSG College of Arts and Science, Coimbatore"
#6,"Rajalakshmi School of Business- [RSB], Chennai"
N/A,N/A
PGDM Marketing,N/A
#7,"Gnanam School of Business - [GSB], Thanjavur"
N/A,N/A
MBA Finance,N/A
MBA Human Resource Management,N/A
MBA Marketing,N/A
MBA Systems Management,N/A
#8,"Institute of Hotel Management Catering Technology and Applied Nutrition - [IHM], Chennai"
N/A,N/A
B.Sc Hospitality and Hotel Administration,N/A
#9,"PSGR Krishnammal College for Women, Coimbatore"
#10,"Nehru College of Management - [NCM], Coimbatore"
N/A,N/A
MBA Finance,N/A
MBA Human Resource Management,N/A
MBA Systems Management,N/A
MBA Marketing,N/A
MBA,N/A
#1,"Ethiraj College for Women, Chennai"
#2,"Thiagarajar School of Management - [TSM], Madurai"
PGDM Finance,N/A
PGDM Human Resource Management,N/A
PGDM Operation,N/A
MBA Analytics,N/A
#3,"Scott Christian College, Nagercoil"
#4,"Women's Christian College - [WCC], Chennai"
#5,"Government Arts College (Autonomous), Coimbatore"
#6,"SRM Institute of Science and Technology - [SRMIST], Chennai"
#7,"Thiagarajar College, Madurai"
#8,"CMS Institute of Management Studies - [CMSIMS], Coimbatore"
#9,"Veterinary College and Research Institute - [VCRI], Chennai"
BVSc & A.H.,N/A
#10,"Sri Ramachandra Dental College, Chennai"
BDS,N/A
#1,"Sairam Institute of Management Studies - [SIMS], Chennai"
#2,"St. Joseph's College, Tiruchirappalli"
#3,"Saveetha Medical College, Chennai"
M.B.B.S.,N/A
#4,"Annamalai University - [AU], Chidambaram"
#5,"Queen Mary's College, Chennai"
#6,"Nehru Institute of Information Technology and Management - [NIITM], Coimbatore"
#7,"KCT Business School - [KCTBS], Coimbatore"
#8,"Saveetha Dental College & Hospital - [SDCH], Chennai"
#9,"Bishop Heber College - [BHC], Tiruchirappalli"
#10,"School of Architecture and Planning, Anna University - [SAP], Chennai"
B.Arch,N/A
#1,"JSS College of Pharmacy - [JSSCOP], Udagamandalam"
#2,"Sona School of Management, Salem"
MBA Health Care Management,N/A
MBA Retail Management,N/A
MBA - Entrepreneurship & Family Business,N/A
"MBA Banking, Insurance & Financial Services",N/A
#3,"Ayya Nadar Janaki Ammal College - [ANJA], Sivakasi"
#4,"Kongunadu Arts and Science College, Coimbatore"
#5,"Noorul Islam Centre for Higher Education [NICHE], Kanyakumari"
BE Electronics & Communication Engineering,N/A
BE Artificial Intelligence and Data Science,N/A
BE Computer Science and Engineering,N/A
B.Tech Information Technology,N/A
BE Mechanical Engineering,N/A
#6,"ITM Business School, Chennai"
PG Diploma in Management Business Analytics,N/A
PGDM International Business,N/A
PGDM Digital Marketing and Transformations,N/A
PGDM Financial Markets,N/A
#7,"M.O.P. Vaishnav College for Women, Chennai"
#8,"Sree Saraswathi Thyagaraja College - [STC], Pollachi"
#9,"SRM Engineering College, Kanchipuram"
#10,"DJ Academy for Managerial Excellence - [DJAME], Coimbatore"
#1,"St. Joseph's Institute of Management - [JIM], Tiruchirappalli"
#2,"SSN College of Engineering - [SSNCE], Chennai"
BE Electrical and Electronics Engineering,N/A
BE Biomedical Engineering,N/A
#3,"CMS College of Science and Commerce, Coimbatore"
#4,"Sri Krishna Arts and Science College, Coimbatore"
#5,"Happy Valley Business School - [HVBS], Coimbatore"
MBA Operations Management,N/A
#6,"Jamal Mohamed College - [JMC], Tiruchirappalli"
#7,"Sri Ramakrishna Mission Vidyalaya College of Arts and Science, Coimbatore"
#8,"Sri Ramakrishna College of Arts and Science - [SRCAS], Coimbatore"
#9,"SASTRA University, Thanjavur"
#10,"V.L.B. Janakiammal College of Arts and Science - [VLBJCAS], Coimbatore"
#1,"Mohamed Sathak A.J. College of Pharmacy, Chennai"
#2,"Virudhunagar Hindu Nadar's Senthikumara Nadar College - [VHNSNC], Virudhunagar"
#3,"Saveetha School of Management - [SSM], Chennai"
#4,"SRM Institute of Hotel Management, Chennai"
#5,"Adithya School of Business Management, Coimbatore"
#6,"SRM College of Pharmacy, Kanchipuram"
#7,"Madras Medical College - [MMC], Chennai"
#8,"Vivekananda Institute of Management Studies - [VIMS], Coimbatore"
MBA Business Analytics,N/A
MBA Financial Management,N/A
MBA Marketing Management,N/A
#9,"P.S.G College of Technology - [PSGCT], Coimbatore"
BE Civil Engineering,N/A
BE Production Engineering,N/A
#10,"Sathyabama Institute of Science and Technology, Chennai"
#1,"Madras School of Social Work - [MSSW], Chennai"
#2,"Rathinam College of Arts and Science - [RCAS], Coimbatore"
#3,"Dr. N.G.P. Arts and Science College - [DrNGPASC], Coimbatore"
#4,"Guru Nanak College, Chennai"
#5,"PSG Institute of Medical Sciences and Research - [PSGIMSR], Coimbatore"
#6,"Sri Ramachandra Medical College, Chennai"
#7,"Hindusthan College of Arts and Science- [HICAS], Coimbatore"
#8,"Coimbatore Institute of Management and Technology - [CIMAT], Coimbatore"
#9,"NIFT TEA College of Knitwear Fashion, Tiruppur"
#10,"Thiagarajar College of Engineering - [TCE], Madurai"
#1,"Hallmark Business School - [HBS], Tiruchirappalli"
MBA Real Estate & Infrastructure Management,N/A
#2,"Sardar Vallabhbhai Patel International School of Textile & Management- [SVPISTM], Coimbatore"
MBA Apparel Management,N/A
MBA Textile Management,N/A
MBA Textile Business Analytics,N/A
MBA Technical Textiles Management,N/A
#3,"Vellalar College for Women, Erode"
#4,"St. Xavier's College (Autonomous), Palayamkottai"
#5,"Indian Maritime University - [IMU], Chennai"
#6,"Kalasalingam Academy of Research and Education, Krishnankovil"
#7,"MEASI Institute of Management - [MIM], Chennai"
MBA Hospital Management,N/A
MBA Human Resource,N/A
#8,"GRG School of Management Studies - [GRGSMS], Coimbatore"
#9,"Tamil Nadu Dr Ambedkar Law University - [TNDALU], Chennai"
#10,"V. O. Chidambaram College, Thoothukkudi"
#1,"Nehru Arts and Science College -[NASC], Coimbatore"
#2,"Coimbatore Institute of Technology - [CIT], Coimbatore"
B.Tech Chemical Engineering,N/A
#3,"Lady Doak College, Madurai"
#4,"Dr. SNS Rajalakshmi College of Arts and Science, Coimbatore"
#5,"Women's Christian College - [WCC], Nagercoil"
#6,"Karunya Institute of Technology and Sciences - [Karunya Deemed University], Coimbatore"
#7,"Kumaraguru College of Technology - [KCT], Coimbatore"
B.Tech Fashion Technology,N/A
B.Tech Artificial Intelligence and Data Science,N/A
BE Aeronautical Engineering,N/A
#8,"Alagappa Government Arts College - [AGAC], Sivaganga"
#9,"Saveetha School of Law, Chennai"
#10,"University of Madras, Chennai"
#1,"Holy Cross College  (Autonomous), Tiruchirappalli"
#2,"Jansons School of Business - [JSB], Coimbatore"
#3,"Mepco Schlenk Engineering College, Sivakasi"
B.Tech Biotechnology,N/A
#4,"DG Vaishnav College - [DDGDVC], Chennai"
#5,"Karpagam Academy of Higher Education - [KAHE], Coimbatore"
#6,"Dr GR Damodaran College of Science - [GRDCS], Coimbatore"
#7,"Vels Institute of Science, Technology & Advanced Studies, Chennai"
#8,"Sri Chandrasekharendra Saraswathi Viswa Mahavidyalaya - [SCSVMV University], Kanchipuram"
#9,"Dr. M.G.R. Educational and Research Institute, Chennai"
#10,"Government College of Technology - [GCT], Coimbatore"
BE Electronics and Instrumentation Engineering,N/A
#1,"VIT Business School - [VITBS], Chennai"
N/A,N/A
MBA,N/A
#2,"National Institute of Fashion Technology - [NIFT], Chennai"
N/A,N/A
B.F.Tech  (Apparel Production),N/A
B.Des Fashion Communication,N/A
B.Des Accessory Design,N/A
B.Des Leather Design,N/A
#3,"Anbil Dharmalingam Agricultural College and Research Institute - [ADAC&RI], Tiruchirappalli"
#4,"KV Institute of Management and Informations Studies - [KVIMIS], Coimbatore"
N/A,N/A
MBA Finance,N/A
MBA Human Resource Management,N/A
MBA Systems Management,N/A
MBA Marketing,N/A
MBA Production Management,N/A
#5,"PSG College of Arts and Science, Coimbatore"
#6,"Rajalakshmi School of Business- [RSB], Chennai"
N/A,N/A
PGDM Marketing,N/A
#7,"Gnanam School of Business - [GSB], Thanjavur"
N/A,N/A
MBA Finance,N/A
MBA Human Resource Management,N/A
MBA Marketing,N/A
MBA Systems Management,N/A
#8,"Institute of Hotel Management Catering Technology and Applied Nutrition - [IHM], Chennai"
N/A,N/A
B.Sc Hospitality and Hotel Administration,N/A
#9,"PSGR Krishnammal College for Women, Coimbatore"
#10,"Nehru College of Management - [NCM], Coimbatore"
N/A,N/A
MBA Finance,N/A
MBA Human Resource Management,N/A
MBA Systems Management,N/A
MBA Marketing,N/A
MBA,N/A
#1,"Ethiraj College for Women, Chennai"
#2,"Thiagarajar School of Management - [TSM], Madurai"
PGDM Finance,N/A
PGDM Human Resource Management,N/A
PGDM Operation,N/A
MBA Analytics,N/A
#3,"Scott Christian College, Nagercoil"
#4,"Women's Christian College - [WCC], Chennai"
#5,"Government Arts College (Autonomous), Coimbatore"
#6,"SRM Institute of Science and Technology - [SRMIST], Chennai"
#7,"Thiagarajar College, Madurai"
#8,"CMS Institute of Management Studies - [CMSIMS], Coimbatore"
#9,"Veterinary College and Research Institute - [VCRI], Chennai"
BVSc & A.H.,N/A
#10,"Sri Ramachandra Dental College, Chennai"
BDS,N/A
#1,"Sairam Institute of Management Studies - [SIMS], Chennai"
#2,"St. Joseph's College, Tiruchirappalli"
#3,"Saveetha Medical College, Chennai"
M.B.B.S.,N/A
#4,"Annamalai University - [AU], Chidambaram"
#5,"Queen Mary's College, Chennai"
#6,"Nehru Institute of Information Technology and Management - [NIITM], Coimbatore"
#7,"KCT Business School - [KCTBS], Coimbatore"
#8,"Saveetha Dental College & Hospital - [SDCH], Chennai"
#9,"Bishop Heber College - [BHC], Tiruchirappalli"
#10,"School of Architecture and Planning, Anna University - [SAP], Chennai"
B.Arch,N/A
#1,"JSS College of Pharmacy - [JSSCOP], Udagamandalam"
#2,"Sona School of Management, Salem"
MBA Health Care Management,N/A
MBA Retail Management,N/A
MBA - Entrepreneurship & Family Business,N/A
"MBA Banking, Insurance & Financial Services",N/A
#3,"Ayya Nadar Janaki Ammal College - [ANJA], Sivakasi"
#4,"Kongunadu Arts and Science College, Coimbatore"
#5,"Noorul Islam Centre for Higher Education [NICHE], Kanyakumari"
BE Electronics & Communication Engineering,N/A
BE Artificial Intelligence and Data Science,N/A
BE Computer Science and Engineering,N/A
B.Tech Information Technology,N/A
BE Mechanical Engineering,N/A
#6,"ITM Business School, Chennai"
PG Diploma in Management Business Analytics,N/A
PGDM International Business,N/A
PGDM Digital Marketing and Transformations,N/A
PGDM Financial Markets,N/A
#7,"M.O.P. Vaishnav College for Women, Chennai"
#8,"Sree Saraswathi Thyagaraja College - [STC], Pollachi"
#9,"SRM Engineering College, Kanchipuram"
#10,"DJ Academy for Managerial Excellence - [DJAME], Coimbatore"
#1,"St. Joseph's Institute of Management - [JIM], Tiruchirappalli"
#2,"SSN College of Engineering - [SSNCE], Chennai"
BE Electrical and Electronics Engineering,N/A
BE Biomedical Engineering,N/A
#3,"CMS College of Science and Commerce, Coimbatore"
#4,"Sri Krishna Arts and Science College, Coimbatore"
#5,"Happy Valley Business School - [HVBS], Coimbatore"
MBA Operations Management,N/A
#6,"Jamal Mohamed College - [JMC], Tiruchirappalli"
#7,"Sri Ramakrishna Mission Vidyalaya College of Arts and Science, Coimbatore"
#8,"Sri Ramakrishna College of Arts and Science - [SRCAS], Coimbatore"
#9,"SASTRA University, Thanjavur"
#10,"V.L.B. Janakiammal College of Arts and Science - [VLBJCAS], Coimbatore"
#1,"Mohamed Sathak A.J. College of Pharmacy, Chennai"
#2,"Virudhunagar Hindu Nadar's Senthikumara Nadar College - [VHNSNC], Virudhunagar"
#3,"Saveetha School of Management - [SSM], Chennai"
#4,"SRM Institute of Hotel Management, Chennai"
#5,"Adithya School of Business Management, Coimbatore"
#6,"SRM College of Pharmacy, Kanchipuram"
#7,"Madras Medical College - [MMC], Chennai"
#8,"Vivekananda Institute of Management Studies - [VIMS], Coimbatore"
MBA Business Analytics,N/A
MBA Financial Management,N/A
MBA Marketing Management,N/A
#9,"P.S.G College of Technology - [PSGCT], Coimbatore"
BE Civil Engineering,N/A
BE Production Engineering,N/A
#10,"Sathyabama Institute of Science and Technology, Chennai"
#1,"Madras School of Social Work - [MSSW], Chennai"
#2,"Rathinam College of Arts and Science - [RCAS], Coimbatore"
#3,"Dr. N.G.P. Arts and Science College - [DrNGPASC], Coimbatore"
#4,"Guru Nanak College, Chennai"
#5,"PSG Institute of Medical Sciences and Research - [PSGIMSR], Coimbatore"
#6,"Sri Ramachandra Medical College, Chennai"
#7,"Hindusthan College of Arts and Science- [HICAS], Coimbatore"
#8,"Coimbatore Institute of Management and Technology - [CIMAT], Coimbatore"
#9,"NIFT TEA College of Knitwear Fashion, Tiruppur"
#10,"Thiagarajar College of Engineering - [TCE], Madurai"
#1,"Hallmark Business School - [HBS], Tiruchirappalli"
MBA Real Estate & Infrastructure Management,N/A
#2,"Sardar Vallabhbhai Patel International School of Textile & Management- [SVPISTM], Coimbatore"
MBA Apparel Management,N/A
MBA Textile Management,N/A
MBA Textile Business Analytics,N/A
MBA Technical Textiles Management,N/A
#3,"Vellalar College for Women, Erode"
#4,"St. Xavier's College (Autonomous), Palayamkottai"
#5,"Indian Maritime University - [IMU], Chennai"
#6,"Kalasalingam Academy of Research and Education, Krishnankovil"
#7,"MEASI Institute of Management - [MIM], Chennai"
MBA Hospital Management,N/A
MBA Human Resource,N/A
#8,"GRG School of Management Studies - [GRGSMS], Coimbatore"
#9,"Tamil Nadu Dr Ambedkar Law University - [TNDALU], Chennai"
#10,"V. O. Chidambaram College, Thoothukkudi"
#1,"Nehru Arts and Science College -[NASC], Coimbatore"
#2,"Coimbatore Institute of Technology - [CIT], Coimbatore"
B.Tech Chemical Engineering,N/A
#3,"Lady Doak College, Madurai"
#4,"Dr. SNS Rajalakshmi College of Arts and Science, Coimbatore"
#5,"Women's Christian College - [WCC], Nagercoil"
#6,"Karunya Institute of Technology and Sciences - [Karunya Deemed University], Coimbatore"
#7,"Kumaraguru College of Technology - [KCT], Coimbatore"
B.Tech Fashion Technology,N/A
B.Tech Artificial Intelligence and Data Science,N/A
BE Aeronautical Engineering,N/A
#8,"Alagappa Government Arts College - [AGAC], Sivaganga"
#9,"Saveetha School of Law, Chennai"
#10,"University of Madras, Chennai"
#1,"Holy Cross College  (Autonomous), Tiruchirappalli"
#2,"Jansons School of Business - [JSB], Coimbatore"
#3,"Mepco Schlenk Engineering College, Sivakasi"
B.Tech Biotechnology,N/A
#4,"DG Vaishnav College - [DDGDVC], Chennai"
#5,"Karpagam Academy of Higher Education - [KAHE], Coimbatore"
#6,"Dr GR Damodaran College of Science - [GRDCS], Coimbatore"
#7,"Vels Institute of Science, Technology & Advanced Studies, Chennai"
#8,"Sri Chandrasekharendra Saraswathi Viswa Mahavidyalaya - [SCSVMV University], Kanchipuram"
#9,"Dr. M.G.R. Educational and Research Institute, Chennai"
#10,"Government College of Technology - [GCT], Coimbatore"
BE Electronics and Instrumentation Engineering,N/A
#1,"Anna Adarsh College for Women, Chennai"
#2,"Hindustan Institute of Technology and Science - [HITS], Chennai"
#3,"Sugarcane Breeding Institute - [SBI], Coimbatore"
#4,"Justice Basheer Ahmed Sayeed  College For Women - [JBAS], Chennai"
#5,"Sri Krishna College of Engineering and Technology - [SKCET], Coimbatore"
BE Cyber Security,N/A
#6,"Kongu Engineering College - [KEC], Erode"
BE Computer Science and Design,N/A
#7,"B.S. Abdur Rahman Crescent Institute of Science & Technology - [BSAU], Chennai"
#8,"Bannari Amman Institute of Technology - [BIT], Sathyamangalam"
B.Tech Computer Science and Business Systems,N/A
#9,"Sona College of Technology, Salem"
B.Tech Artificial Intelligence and Machine Learning,N/A
#10,"Kamadhenu College of Arts & Science, Dharmapuri"
#1,"Vanavarayar Institute of Agriculture, Pollachi"
#2,"Tamil Nadu Veterinary and Animal Sciences University - [TANUVAS], Chennai"
#3,"RVS Institute of Management studies - [RVSIMS], Coimbatore"
#4,"IIKM - The Corporate B School, Chennai"
#5,"PSG College of Pharmacy - [PSGCP], Coimbatore"
#6,"St. Joseph College Of Engineering, Kanchipuram"
#7,"Saveetha Engineering College - [SEC], Chennai"
BE Internet of Things,N/A
BE Medical Electronics,N/A
#8,"Sri Sairam Engineering College, Chennai"
BE Instrumentation & Control Engineering,N/A
#9,"Fatima College, Madurai"
#10,"Sri Ramakrishna Engineering College - [SREC], Coimbatore"
#1,"CL Baid Metha College of Pharmacy, Chennai"
#2,"Chennai Institute of Technology - [CIT], Chennai"
BE Artificial Intelligence & Machine Learning,N/A
BE Advanced Communication Technology,N/A
BE Mechatronics Engineering,N/A
#3,"Sri Venkateswara College of Engineering - [SVCE], Sriperumbudur"
#4,"Rajalakshmi Engineering College - [REC], Chennai"
#5,"Sri Krishna College of Technology - [SKCT], Coimbatore"
#6,"PSNA College of Engineering and Technology, Dindigul"
#7,"Quaide-E-Millath Government College for Women (Autonomous), Chennai"
#8,"SSN School of Management - [SOM], Chennai"
#9,"MAM BSchool - [MAMBS], Tiruchirappalli"
#10,"Loganatha Narayanasamy Government College, Ponneri"
#1,"VIT Business School - [VITBS], Chennai"
N/A,N/A
MBA,N/A
#2,"National Institute of Fashion Technology - [NIFT], Chennai"
N/A,N/A
B.F.Tech  (Apparel Production),N/A
B.Des Fashion Communication,N/A
B.Des Accessory Design,N/A
B.Des Leather Design,N/A
#3,"Anbil Dharmalingam Agricultural College and Research Institute - [ADAC&RI], Tiruchirappalli"
#4,"KV Institute of Management and Informations Studies - [KVIMIS], Coimbatore"
N/A,N/A
MBA Finance,N/A
MBA Human Resource Management,N/A
MBA Systems Management,N/A
MBA Marketing,N/A
MBA Production Management,N/A
#5,"PSG College of Arts and Science, Coimbatore"
#6,"Rajalakshmi School of Business- [RSB], Chennai"
N/A,N/A
PGDM Marketing,N/A
#7,"Gnanam School of Business - [GSB], Thanjavur"
N/A,N/A
MBA Finance,N/A
MBA Human Resource Management,N/A
MBA Marketing,N/A
MBA Systems Management,N/A
#8,"Institute of Hotel Management Catering Technology and Applied Nutrition - [IHM], Chennai"
N/A,N/A
B.Sc Hospitality and Hotel Administration,N/A
#9,"PSGR Krishnammal College for Women, Coimbatore"
#10,"Nehru College of Management - [NCM], Coimbatore"
N/A,N/A
MBA Finance,N/A
MBA Human Resource Management,N/A
MBA Systems Management,N/A
MBA Marketing,N/A
MBA,N/A
#1,"Ethiraj College for Women, Chennai"
#2,"Thiagarajar School of Management - [TSM], Madurai"
PGDM Finance,N/A
PGDM Human Resource Management,N/A
PGDM Operation,N/A
MBA Analytics,N/A
#3,"Scott Christian College, Nagercoil"
#4,"Women's Christian College - [WCC], Chennai"
#5,"Government Arts College (Autonomous), Coimbatore"
#6,"SRM Institute of Science and Technology - [SRMIST], Chennai"
#7,"Thiagarajar College, Madurai"
#8,"CMS Institute of Management Studies - [CMSIMS], Coimbatore"
#9,"Veterinary College and Research Institute - [VCRI], Chennai"
BVSc & A.H.,N/A
#10,"Sri Ramachandra Dental College, Chennai"
BDS,N/A
#1,"Sairam Institute of Management Studies - [SIMS], Chennai"
#2,"St. Joseph's College, Tiruchirappalli"
#3,"Saveetha Medical College, Chennai"
M.B.B.S.,N/A
#4,"Annamalai University - [AU], Chidambaram"
#5,"Queen Mary's College, Chennai"
#6,"Nehru Institute of Information Technology and Management - [NIITM], Coimbatore"
#7,"KCT Business School - [KCTBS], Coimbatore"
#8,"Saveetha Dental College & Hospital - [SDCH], Chennai"
#9,"Bishop Heber College - [BHC], Tiruchirappalli"
#10,"School of Architecture and Planning, Anna University - [SAP], Chennai"
B.Arch,N/A
#1,"JSS College of Pharmacy - [JSSCOP], Udagamandalam"
#2,"Sona School of Management, Salem"
MBA Health Care Management,N/A
MBA Retail Management,N/A
MBA - Entrepreneurship & Family Business,N/A
"MBA Banking, Insurance & Financial Services",N/A
#3,"Ayya Nadar Janaki Ammal College - [ANJA], Sivakasi"
#4,"Kongunadu Arts and Science College, Coimbatore"
#5,"Noorul Islam Centre for Higher Education [NICHE], Kanyakumari"
BE Electronics & Communication Engineering,N/A
BE Artificial Intelligence and Data Science,N/A
BE Computer Science and Engineering,N/A
B.Tech Information Technology,N/A
BE Mechanical Engineering,N/A
#6,"ITM Business School, Chennai"
PG Diploma in Management Business Analytics,N/A
PGDM International Business,N/A
PGDM Digital Marketing and Transformations,N/A
PGDM Financial Markets,N/A
#7,"M.O.P. Vaishnav College for Women, Chennai"
#8,"Sree Saraswathi Thyagaraja College - [STC], Pollachi"
#9,"SRM Engineering College, Kanchipuram"
#10,"DJ Academy for Managerial Excellence - [DJAME], Coimbatore"
#1,"St. Joseph's Institute of Management - [JIM], Tiruchirappalli"
#2,"SSN College of Engineering - [SSNCE], Chennai"
BE Electrical and Electronics Engineering,N/A
BE Biomedical Engineering,N/A
#3,"CMS College of Science and Commerce, Coimbatore"
#4,"Sri Krishna Arts and Science College, Coimbatore"
#5,"Happy Valley Business School - [HVBS], Coimbatore"
MBA Operations Management,N/A
#6,"Jamal Mohamed College - [JMC], Tiruchirappalli"
